date,total_cases
2021-12-18,1149902461.0
2021-12-19,1151968613.0
2021-12-20,1155163840.0
2021-12-21,1158673932.0
2021-12-22,1162627364.0
2021-12-23,1166968388.0
2021-12-24,1170642981.0
2021-12-25,1173697987.0
2021-12-26,1176122217.0
2021-12-27,1181658668.0
2021-12-28,1187528569.0
2021-12-29,1195100575.0
2021-12-30,1203609927.0
2021-12-31,1211070993.0
2022-01-01,1216374484.0
2022-01-02,1220230977.0
2022-01-03,1230656440.0
2022-01-04,1241662861.0
2022-01-05,1252943167.0
2022-01-06,1264291500.0
2022-01-07,1277009859.0
2022-01-08,1286332815.0
2022-01-09,1295027208.0
2022-01-10,1308423411.0
2022-01-11,1321966369.0
2022-01-12,1337198783.0
2022-01-13,1350888641.0
2022-01-14,1365111709.0
2022-01-15,1375701207.0
2022-01-16,1384959863.0
2022-01-17,1396598851.0
2022-01-18,1413101652.0
2022-01-19,1431306560.0
2022-01-20,1447446862.0
2022-01-21,1464018207.0
2022-01-22,1475920801.0
2022-01-23,1486404291.0
2022-01-24,1501389784.0
2022-01-25,1517601810.0
2022-01-26,1534468405.0
2022-01-27,1550711833.0
2022-01-28,1566472533.0
2022-01-29,1578113872.0
2022-01-30,1587969356.0
2022-01-31,1603289466.0
2022-02-01,1617878266.0
2022-02-02,1632117865.0
2022-02-03,1646026314.0
2022-02-04,1658751638.0
2022-02-05,1668499572.0
2022-02-06,1676401999.0
2022-02-07,1687603218.0
2022-02-08,1700239362.0
2022-02-09,1710946117.0
2022-02-10,1723179965.0
2022-02-11,1733580607.0
2022-02-12,1741500754.0
2022-02-13,1747746408.0
2022-02-14,1755485061.0
2022-02-15,1763150373.0
2022-02-16,1773896150.0
2022-02-17,1782751349.0
2022-02-18,1791139321.0
2022-02-19,1797795647.0
2022-02-20,1803221500.0
2022-02-21,1809515160.0
2022-02-22,1817367334.0
2022-02-23,1825773723.0
2022-02-24,1833390026.0
2022-02-25,1840262938.0
2022-02-26,1845946824.0
2022-02-27,1850459193.0
2022-02-28,1856450500.0
2022-03-01,1863070402.0
2022-03-02,1870215140.0
2022-03-03,1878458434.0
2022-03-04,1885818447.0
2022-03-05,1891678391.0
